iter	Passed	Remaining
0	0	973
1	1	868
2	2	849
3	3	881
4	4	831
5	4	808
6	5	799
7	6	787
8	7	777
9	7	767
10	8	758
11	9	766
12	10	790
13	11	796
14	12	788
15	12	782
16	13	772
17	14	766
18	14	762
19	15	756
20	16	751
21	16	752
22	17	748
23	18	746
24	18	739
25	19	737
26	20	734
27	21	730
28	21	730
29	22	724
30	23	724
31	23	725
32	24	729
33	25	738
34	26	740
35	27	740
36	28	735
37	28	732
38	29	728
39	30	726
40	31	726
41	31	723
42	32	722
43	33	717
44	33	714
45	34	711
46	34	708
47	35	706
48	36	704
49	36	701
50	37	699
51	38	697
52	38	695
53	39	696
54	40	697
55	41	697
56	42	696
57	42	695
58	43	695
59	44	692
60	44	689
61	45	688
62	46	687
63	46	685
64	47	684
65	48	682
66	48	679
67	49	677
68	50	676
69	50	674
70	51	672
71	52	671
72	52	670
73	53	669
74	54	670
75	55	672
76	56	674
77	57	673
78	57	672
79	58	670
80	59	670
81	59	669
82	60	664
83	60	664
84	61	663
85	62	663
86	63	662
87	64	663
88	64	663
89	65	661
90	66	662
91	67	662
92	67	661
93	68	661
94	69	661
95	70	663
96	71	666
97	72	668
98	73	668
99	74	667
100	74	665
101	75	665
102	76	666
103	77	665
104	77	663
105	78	661
106	79	659
107	79	658
108	80	656
109	81	656
110	81	655
111	82	653
112	83	652
113	83	650
114	84	650
115	85	650
116	86	650
117	87	652
118	88	651
119	88	650
120	89	650
121	90	648
122	90	647
123	91	645
124	91	643
125	92	641
126	92	639
127	93	637
128	94	635
129	94	633
130	95	631
131	95	630
132	96	628
133	97	627
134	97	626
135	98	625
136	99	625
137	100	625
138	101	626
139	102	626
140	102	626
141	103	623
142	104	623
143	104	622
144	105	622
145	106	621
146	106	619
147	107	617
148	107	616
149	108	615
150	109	613
151	109	611
152	110	613
153	111	613
154	112	612
155	112	610
156	113	609
157	114	607
158	114	607
159	115	607
160	116	605
161	117	606
162	118	606
163	118	605
164	119	605
165	120	603
166	120	602
167	121	601
168	121	599
169	122	598
170	123	596
171	123	595
172	124	594
173	125	593
174	125	592
175	126	592
176	127	591
177	127	591
178	128	590
179	129	588
180	130	588
181	130	587
182	131	587
183	132	587
184	133	588
185	134	587
186	134	586
187	135	585
188	136	584
189	136	583
190	137	582
191	138	581
192	138	580
193	139	579
194	140	578
195	140	576
196	141	576
197	142	575
198	142	573
199	143	572
200	143	571
201	144	570
202	145	569
203	145	568
204	146	568
205	147	568
206	148	569
207	149	568
208	149	567
209	150	567
210	151	566
211	151	564
212	152	564
213	153	563
214	154	562
215	154	561
216	155	560
217	155	558
218	156	557
219	156	556
220	157	555
221	158	554
222	158	552
223	159	551
224	159	550
225	160	550
226	161	550
227	162	550
228	163	550
229	164	549
230	164	548
231	165	547
232	165	546
233	166	545
234	167	544
235	167	543
236	168	542
237	168	540
238	169	539
239	170	538
240	170	537
241	171	536
242	171	535
243	172	534
244	172	532
245	173	531
246	174	530
247	174	529
248	175	529
249	176	528
250	177	528
251	177	527
252	178	526
253	179	526
254	179	525
255	180	524
256	181	523
257	181	522
258	182	521
259	182	520
260	183	519
261	184	518
262	184	517
263	185	516
264	185	515
265	186	514
266	187	513
267	187	512
268	188	511
269	188	510
270	189	509
271	189	507
272	190	507
273	191	507
274	192	506
275	192	506
276	193	505
277	194	504
278	195	503
279	195	503
280	196	502
281	197	502
282	197	501
283	198	500
284	199	499
285	199	498
286	200	497
287	201	497
288	201	496
289	202	495
290	203	494
291	203	493
292	204	492
293	204	491
294	205	490
295	206	490
296	207	490
297	207	489
298	208	489
299	209	488
300	209	487
301	210	486
302	211	485
303	211	485
304	212	484
305	213	483
306	213	483
307	214	482
308	215	481
309	215	480
310	216	479
311	217	479
312	217	478
313	218	477
314	219	476
315	220	476
316	220	475
317	221	475
318	222	474
319	223	474
320	223	473
321	224	473
322	225	472
323	226	471
324	226	471
325	227	470
326	228	469
327	228	468
328	229	467
329	229	466
330	230	465
331	231	465
332	231	464
333	232	463
334	233	463
335	234	462
336	234	462
337	235	461
338	236	461
339	237	460
340	238	460
341	238	459
342	239	458
343	240	457
344	240	457
345	241	456
346	242	455
347	242	454
348	243	454
349	244	453
350	244	452
351	245	451
352	246	450
353	246	450
354	247	449
355	247	448
356	248	447
357	249	446
358	249	445
359	250	444
360	250	444
361	251	443
362	252	442
363	253	442
364	253	441
365	254	440
366	254	439
367	255	438
368	256	437
369	256	437
370	257	436
371	257	435
372	258	434
373	258	433
374	259	432
375	260	431
376	260	431
377	261	430
378	261	429
379	262	428
380	263	427
381	263	426
382	264	425
383	264	424
384	265	423
385	266	423
386	267	423
387	267	422
388	268	421
389	268	420
390	269	419
391	270	419
392	270	418
393	271	417
394	271	416
395	272	415
396	273	414
397	273	413
398	274	413
399	274	412
400	275	411
401	275	410
402	276	409
403	277	408
404	277	408
405	278	407
406	278	406
407	279	405
408	280	404
409	280	403
410	281	403
411	282	403
412	283	402
413	284	402
414	284	401
415	285	400
416	286	400
417	287	399
418	287	399
419	288	398
420	288	397
421	289	396
422	290	395
423	290	394
424	291	394
425	291	393
426	292	392
427	292	391
428	293	390
429	294	389
430	294	389
431	295	388
432	295	387
433	296	386
434	297	386
435	298	385
436	299	385
437	299	384
438	300	383
439	300	382
440	301	382
441	302	381
442	302	380
443	303	379
444	303	378
445	304	378
446	304	377
447	305	376
448	306	375
449	306	374
450	307	373
451	307	373
452	308	372
453	308	371
454	309	370
455	310	370
456	311	369
457	312	369
458	313	368
459	313	368
460	314	367
461	315	366
462	315	366
463	316	365
464	316	364
465	317	363
466	318	362
467	318	362
468	319	361
469	319	360
470	320	359
471	320	359
472	321	358
473	322	357
474	322	356
475	323	355
476	323	355
477	324	354
478	325	353
479	325	352
480	326	352
481	326	351
482	327	350
483	328	350
484	329	349
485	329	348
486	330	347
487	330	347
488	331	346
489	332	345
490	332	344
491	333	344
492	333	343
493	334	342
494	334	341
495	335	340
496	336	340
497	336	339
498	337	338
499	337	337
500	338	337
501	339	336
502	340	336
503	340	335
504	341	334
505	342	333
506	342	333
507	343	332
508	344	332
509	344	331
510	345	330
511	346	329
512	346	329
513	347	328
514	347	327
515	348	326
516	349	326
517	349	325
518	350	324
519	350	323
520	351	323
521	352	322
522	352	321
523	353	320
524	353	320
525	354	319
526	355	318
527	355	317
528	356	317
529	356	316
530	357	315
531	358	315
532	358	314
533	359	313
534	360	313
535	360	312
536	361	311
537	361	310
538	362	310
539	363	309
540	363	308
541	364	307
542	364	307
543	365	306
544	366	305
545	366	304
546	367	304
547	367	303
548	368	302
549	369	301
550	369	301
551	370	300
552	370	299
553	371	299
554	372	298
555	372	297
556	373	296
557	374	296
558	375	295
559	375	295
560	376	294
561	376	293
562	377	293
563	378	292
564	378	291
565	379	290
566	379	290
567	380	289
568	381	288
569	381	287
570	382	287
571	382	286
572	383	285
573	383	284
574	384	284
575	385	283
576	385	282
577	386	282
578	386	281
579	387	280
580	387	279
581	388	279
582	389	278
583	390	278
584	391	277
585	391	276
586	392	276
587	393	275
588	393	274
589	394	274
590	394	273
591	395	272
592	396	271
593	396	271
594	397	270
595	398	269
596	398	269
597	399	268
598	399	267
599	400	267
600	401	266
601	401	265
602	402	264
603	402	264
604	403	263
605	404	262
606	405	262
607	406	261
608	407	261
609	407	260
610	408	260
611	409	259
612	410	258
613	410	258
614	411	257
615	411	256
616	412	256
617	413	255
618	413	254
619	414	253
620	414	253
621	415	252
622	416	251
623	416	251
624	417	250
625	417	249
626	418	248
627	419	248
628	419	247
629	420	247
630	421	246
631	422	246
632	423	245
633	424	244
634	424	244
635	425	243
636	426	242
637	426	242
638	427	241
639	428	240
640	428	240
641	429	239
642	430	238
643	430	238
644	431	237
645	431	236
646	432	235
647	433	235
648	433	234
649	434	233
650	435	233
651	436	232
652	437	232
653	438	231
654	438	231
655	439	230
656	440	229
657	441	229
658	442	228
659	442	228
660	443	227
661	443	226
662	444	225
663	445	225
664	445	224
665	446	223
666	446	223
667	447	222
668	448	221
669	448	221
670	449	220
671	450	219
672	451	219
673	452	218
674	453	218
675	454	217
676	454	216
677	455	216
678	456	215
679	456	215
680	457	214
681	458	213
682	458	212
683	459	212
684	459	211
685	460	210
686	461	210
687	461	209
688	462	208
689	462	208
690	463	207
691	464	206
692	465	206
693	466	205
694	467	205
695	468	204
696	468	203
697	469	203
698	470	202
699	470	201
700	471	201
701	472	200
702	472	199
703	473	198
704	473	198
705	474	197
706	474	196
707	475	196
708	476	195
709	476	194
710	477	194
711	477	193
712	478	192
713	479	191
714	479	191
715	480	190
716	482	190
717	483	189
718	484	189
719	484	188
720	485	187
721	486	187
722	486	186
723	487	185
724	488	185
725	488	184
726	489	183
727	490	183
728	490	182
729	491	181
730	492	181
731	492	180
732	493	179
733	494	179
734	495	178
735	495	177
736	496	177
737	497	176
738	498	176
739	499	175
740	499	174
741	500	174
742	501	173
743	501	172
744	502	172
745	503	171
746	503	170
747	504	169
748	505	169
749	505	168
750	506	167
751	507	167
752	507	166
753	508	165
754	509	165
755	510	164
756	510	164
757	511	163
758	512	162
759	513	162
760	514	161
761	514	160
762	515	160
763	516	159
764	517	158
765	517	158
766	518	157
767	519	156
768	519	156
769	520	155
770	521	154
771	522	154
772	522	153
773	523	152
774	524	152
775	525	151
776	525	150
777	526	150
778	527	149
779	528	149
780	529	148
781	530	147
782	531	147
783	531	146
784	532	145
785	533	145
786	534	144
787	534	143
788	535	143
789	536	142
790	536	141
791	537	141
792	538	140
793	538	139
794	539	139
795	540	138
796	541	137
797	542	137
798	543	136
799	544	136
800	544	135
801	545	134
802	546	133
803	546	133
804	547	132
805	548	131
806	549	131
807	549	130
808	550	129
809	551	129
810	551	128
811	552	127
812	553	127
813	554	126
814	554	125
815	555	125
816	556	124
817	557	124
818	558	123
819	559	122
820	559	122
821	560	121
822	561	120
823	561	120
824	562	119
825	563	118
826	564	117
827	564	117
828	565	116
829	566	115
830	566	115
831	567	114
832	567	113
833	568	113
834	569	112
835	569	111
836	570	111
837	571	110
838	571	109
839	572	109
840	573	108
841	573	107
842	574	107
843	575	106
844	575	105
845	576	104
846	577	104
847	577	103
848	578	102
849	578	102
850	579	101
851	580	100
852	580	100
853	581	99
854	581	98
855	582	97
856	583	97
857	583	96
858	585	96
859	586	95
860	586	94
861	587	94
862	588	93
863	588	92
864	589	91
865	590	91
866	590	90
867	591	89
868	591	89
869	592	88
870	593	87
871	593	87
872	594	86
873	594	85
874	595	85
875	596	84
876	596	83
877	597	82
878	598	82
879	598	81
880	599	80
881	599	80
882	600	79
883	601	78
884	601	78
885	602	77
886	603	76
887	603	76
888	604	75
889	605	74
890	605	74
891	606	73
892	606	72
893	607	72
894	608	71
895	608	70
896	609	69
897	609	69
898	610	68
899	611	67
900	611	67
901	612	66
902	613	65
903	613	65
904	614	64
905	614	63
906	615	63
907	616	62
908	616	61
909	617	61
910	617	60
911	618	59
912	619	58
913	619	58
914	620	57
915	620	56
916	621	56
917	622	55
918	622	54
919	623	54
920	623	53
921	624	52
922	625	52
923	625	51
924	626	50
925	627	50
926	627	49
927	628	48
928	629	48
929	629	47
930	630	46
931	631	46
932	631	45
933	632	44
934	633	44
935	634	43
936	634	42
937	635	42
938	636	41
939	636	40
940	637	39
941	638	39
942	638	38
943	639	37
944	640	37
945	640	36
946	641	35
947	642	35
948	642	34
949	643	33
950	644	33
951	645	32
952	645	31
953	646	31
954	646	30
955	647	29
956	648	29
957	649	28
958	649	27
959	650	27
960	651	26
961	651	25
962	652	25
963	653	24
964	653	23
965	654	23
966	655	22
967	655	21
968	656	21
969	657	20
970	657	19
971	658	18
972	659	18
973	659	17
974	660	16
975	661	16
976	662	15
977	662	14
978	663	14
979	664	13
980	665	12
981	665	12
982	666	11
983	667	10
984	668	10
985	668	9
986	669	8
987	669	8
988	670	7
989	671	6
990	672	6
991	672	5
992	673	4
993	673	4
994	674	3
995	675	2
996	675	2
997	676	1
998	677	0
999	677	0
